08-okt-15 23:00:00	40424
08-okt-15 23:05:00	40226
08-okt-15 23:10:00	39764
08-okt-15 23:15:00	40034
08-okt-15 23:20:00	38906
08-okt-15 23:25:00	36938
08-okt-15 23:30:00	36080
08-okt-15 23:35:00	35402
08-okt-15 23:40:00	34472
08-okt-15 23:45:00	34262
08-okt-15 23:50:00	32672
08-okt-15 23:55:00	31888,5
09-okt-15 00:00:00	32587
09-okt-15 00:05:00	32755
09-okt-15 00:10:00	32437
09-okt-15 00:15:00	31447
09-okt-15 00:20:00	30811
09-okt-15 00:25:00	30409
09-okt-15 00:30:00	29755
09-okt-15 00:35:00	29179
09-okt-15 00:40:00	29173
09-okt-15 00:45:00	28915
09-okt-15 00:50:00	28279
09-okt-15 00:55:00	27883
09-okt-15 01:00:00	27841
09-okt-15 01:05:00	27829
09-okt-15 01:10:00	27391
09-okt-15 01:15:00	27097
09-okt-15 01:20:00	26965
09-okt-15 01:25:00	26671
09-okt-15 01:30:00	26305
09-okt-15 01:35:00	25945
09-okt-15 01:40:00	25855
09-okt-15 01:45:00	25621
09-okt-15 01:50:00	25339
09-okt-15 01:55:00	25207
09-okt-15 02:00:00	25063
09-okt-15 02:05:00	24421
09-okt-15 02:10:00	23929
09-okt-15 02:15:00	23887
09-okt-15 02:20:00	23785
09-okt-15 02:25:00	23953
09-okt-15 02:30:00	23755
09-okt-15 02:35:00	23617
09-okt-15 02:40:00	23563
09-okt-15 02:45:00	23605
09-okt-15 02:50:00	23587
09-okt-15 02:55:00	23323
09-okt-15 03:00:00	23305
09-okt-15 03:05:00	23065
09-okt-15 03:10:00	22891
09-okt-15 03:15:00	22765
09-okt-15 03:20:00	22897
09-okt-15 03:25:00	22669
09-okt-15 03:30:00	22393
09-okt-15 03:35:00	22825
09-okt-15 03:40:00	22525
09-okt-15 03:45:00	22201
09-okt-15 03:50:00	22621
09-okt-15 03:55:00	22363
09-okt-15 04:00:00	21829
09-okt-15 04:05:00	21793
09-okt-15 04:10:00	22015
09-okt-15 04:15:00	22525
09-okt-15 04:20:00	22501
09-okt-15 04:25:00	22027
09-okt-15 04:30:00	22183
09-okt-15 04:35:00	22213
09-okt-15 04:40:00	22093
09-okt-15 04:45:00	22855
09-okt-15 04:50:00	22813
09-okt-15 04:55:00	22831
09-okt-15 05:00:00	23149
09-okt-15 05:05:00	23059
09-okt-15 05:10:00	23359
09-okt-15 05:15:00	24019
09-okt-15 05:20:00	24406
09-okt-15 05:25:00	24847
09-okt-15 05:30:00	25762
09-okt-15 05:35:00	26227
09-okt-15 05:40:00	26257
09-okt-15 05:45:00	27013
09-okt-15 05:50:00	27853
09-okt-15 05:55:00	28501
09-okt-15 06:00:00	29761
09-okt-15 06:05:00	30799
09-okt-15 06:10:00	31711
09-okt-15 06:15:00	32749
09-okt-15 06:20:00	33967
09-okt-15 06:25:00	35299
09-okt-15 06:30:00	37597
09-okt-15 06:35:00	40039
09-okt-15 06:40:00	42031
09-okt-15 06:45:00	43927
09-okt-15 06:50:00	45487
09-okt-15 06:55:00	47005
09-okt-15 07:00:00	49159
09-okt-15 07:05:00	51769
09-okt-15 07:10:00	53233
09-okt-15 07:15:00	53797
09-okt-15 07:20:00	53719
09-okt-15 07:25:00	54337
09-okt-15 07:30:00	54829
09-okt-15 07:35:00	54871
09-okt-15 07:40:00	55267
09-okt-15 07:45:00	55117
09-okt-15 07:50:00	54109
09-okt-15 07:55:00	53527
09-okt-15 08:00:00	53803
09-okt-15 08:05:00	54169
09-okt-15 08:10:00	53233
09-okt-15 08:15:00	51943
09-okt-15 08:20:00	51619
09-okt-15 08:25:00	51649
09-okt-15 08:30:00	51721
09-okt-15 08:35:00	52057
09-okt-15 08:40:00	52681
09-okt-15 08:45:00	52171
09-okt-15 08:50:00	51721
09-okt-15 08:55:00	51961
09-okt-15 09:00:00	51775
09-okt-15 09:05:00	51799
09-okt-15 09:10:00	52183
09-okt-15 09:15:00	52117
09-okt-15 09:20:00	51853
09-okt-15 09:25:00	52045
09-okt-15 09:30:00	51655
09-okt-15 09:35:00	50923
09-okt-15 09:40:00	51103
09-okt-15 09:45:00	50473
09-okt-15 09:50:00	50197
09-okt-15 09:55:00	50239
09-okt-15 10:00:00	49855
09-okt-15 10:05:00	49873
09-okt-15 10:10:00	49477
09-okt-15 10:15:00	48841
09-okt-15 10:20:00	48499
09-okt-15 10:25:00	48487
09-okt-15 10:30:00	48313
09-okt-15 10:35:00	47833
09-okt-15 10:40:00	47257
09-okt-15 10:45:00	47317
09-okt-15 10:50:00	47209
09-okt-15 10:55:00	46981
09-okt-15 11:00:00	46819
09-okt-15 11:05:00	46711
09-okt-15 11:10:00	46789
09-okt-15 11:15:00	46729
09-okt-15 11:20:00	46357
09-okt-15 11:25:00	45805
09-okt-15 11:30:00	45577
09-okt-15 11:35:00	45559
09-okt-15 11:40:00	45301
09-okt-15 11:45:00	44761
09-okt-15 11:50:00	44893
09-okt-15 11:55:00	44893
09-okt-15 12:00:00	44359
09-okt-15 12:05:00	44539
09-okt-15 12:10:00	44743
09-okt-15 12:15:00	44695
09-okt-15 12:20:00	44473
09-okt-15 12:25:00	44209
09-okt-15 12:30:00	44545
09-okt-15 12:35:00	44779
09-okt-15 12:40:00	44851
09-okt-15 12:45:00	44893
09-okt-15 12:50:00	44476
09-okt-15 12:55:00	44593
09-okt-15 13:00:00	44428
09-okt-15 13:05:00	43813
09-okt-15 13:10:00	43921
09-okt-15 13:15:00	43633
09-okt-15 13:20:00	43435
09-okt-15 13:25:00	43321
09-okt-15 13:30:00	42751
09-okt-15 13:35:00	42361
09-okt-15 13:40:00	42469
09-okt-15 13:45:00	42223
09-okt-15 13:50:00	42061
09-okt-15 13:55:00	41827
09-okt-15 14:00:00	41335
09-okt-15 14:05:00	41383
09-okt-15 14:10:00	41395
09-okt-15 14:15:00	41521
09-okt-15 14:20:00	41413
09-okt-15 14:25:00	41437
